word,is_neighbor
-location,0
aroha,0
dnigbourhood,0
fonction,0
plano,0
ronda,0
latas,0
opine,0
night.your,0
strweta,0
janie,0
locaux,0
todds,0
plays,0
bones(a,0
slades,0
lans,0
argan,0
pains,0
surrounding,0
stacey,0
suburn,0
athmosphare,0
~maria,0
voces,0
vicinity,0
allay,0
tocas,0
marca,0
closeto,0
proximites,0
nieghbourhood,0
replaces,0
plsce,0
freash,0
blant,0
locates,0
jane‘s,0
haria,0
spaces-,0
scones~,0
lovation,0
marias,0
andirons,0
proximite,0
neighbouhrhood,0
crean,0
vecinity,0
neiboorghood,0
bolling,0
value--,0
streetlife,0
plate,0
loans,0
arina,0
lynel,0
one-,0
theres,0
zähne,0
focal,0
alexa,0
valery,0
zonnen,0
mariea,0
maint,0
larsa,0
sidewalked,0
all-,0
.elle,0
saria,0
lanie,0
adrea,0
ballet,0
larua,0
jane`s,0
grease,0
locastion,0
latte,0
"downstairs,7",0
sourrinding,0
jane,0
treys,0
ladny,0
placa,0
d'allie,0
rhone,0
rotations,0
bayne,0
balding,0
nabourhoood,0
d.c.area,0
atmospheres,0
communi,0
ganse,0
dalla,0
locared,0
loctation,0
laver,0
fable,0
atmosphere-,0
pain––we,0
varsa,0
array,0
allocation,0
maria´s,0
line(j,0
blakes,0
-one,0
alien,0
preis-/,0
sweet~,0
cosby,0
grood,0
steen,0
belle,0
linen/,0
jonns,0
holley,0
cleas,0
graces,0
flaner,0
commodities,0
relions,0
neighbourghood,0
neigjborhood,0
monze,0
zoe'e,0
pudding,0
tones,0
moths,0
unlist,0
nation,0
calme,0
neighbhorhood,0
plcae,0
weighs,0
roses,0
alex‘s,0
vocal,0
stres,0
ronalds,0
regio,0
bonding,0
steely,0
allyce,0
placé,0
zoe-,0
rooms-,0
valen,0
d'anne,0
donde,0
suburbs,0
armar,0
zoe,0
fresa,0
hone,0
flare-,0
plant,0
greys,0
shoo'd,0
glaze,0
alpine,0
marna,0
.all,0
neibourghood,0
logions,0
ronak,0
value$,0
sweet-,0
later:-,0
action,0
fines,0
pats,0
planks,0
commjnity,0
alone-,0
don’ts,0
laxed,0
rodan,0
tilley,0
tocalm,0
cline,0
llana,0
talle,0
locaciones,0
parejas,0
fuits,0
waren,0
hanne,0
lockes,0
pattis,0
tarea,0
hadley,0
3-line,0
andrea,0
latinx,0
neighborhood-,0
arman,0
leigha,0
luces,0
nanae,0
lazer,0
foods)-,0
action-,0
lille,0
marta`s,0
proximate,0
noam´s,0
canoe,0
allll,0
roach,0
pones,0
bone,0
joan´s,0
bonus-,0
ganes,0
birding,0
nieghborrhood,0
nocole,0
board:-/,0
alla,0
faces,0
tolle,0
regiões,0
altre,0
proximités,0
linge,0
negibborhood,0
devions,0
eocae,0
hints,0
lovable~,0
strebe,0
surroundings,0
dealing,0
stream,0
gates,0
location。we,0
proud,0
partys,0
darpa,0
unido,0
playard,0
aurez,0
parca,0
laleh,0
there｡,0
arena--,0
seight,0
langt,0
sara‘s,0
patsys,0
downatairs,0
chad‘s,0
locus,0
fonts,0
crane,0
earle,0
navne,0
zonked,0
neighborhood,0
there`s,0
negbourhood,0
daina,0
steeg,0
mates,0
utils,0
janet,0
relocation,0
libations,0
linje,0
neighbor‘s,0
woodside,0
nightbourhood,0
neighboehood,0
adrew,0
environement,0
location!,0
easley,0
honest-,0
atomospher,0
brane,0
dates,0
shane,0
tates,0
elate,0
lawns,0
athmosphere,0
celle,0
/locations,0
lande,0
burbling,0
boad,0
location--5,0
palaces,0
valued,0
plaques,0
outoor,0
rokus,0
foams,0
l'angle,0
sweet,0
vaction,0
laotian,0
thalley,0
amble,0
atmoshphere,0
placera,0
harley,0
yatchs,0
ahead,0
location---,0
luanne,0
neihhborhood,0
rojas,0
bumming,0
allee,0
union,0
caple,0
locatioon,0
planed,0
fulley,0
coals,0
neiborghood,0
the’re,0
allgo,0
neoghborhood,0
elain,0
monse,0
fleas,0
cation,0
allie,0
neughborhood,0
farias,0
manse,0
neirboorhood,0
linen,0
here.a,0
yanet,0
adele,0
tone,0
negihbhood,0
aires,0
paces,0
plece,0
romans,0
slave,0
nieghbor,0
pluses,0
kaile,0
lines,0
plàce,0
paños,0
gante,0
nighberhood,0
reas,0
dane,0
karra,0
blaide,0
carla‘s,0
loads,0
dona`s,0
neighborhoood,0
ara´s,0
waned,0
plaats,0
towelling,0
ratas,0
lenvironment,0
lance,0
sorroundings,0
nebourhood,0
neighbourhoodly,0
atmoshpere,0
caren,0
neugbourhood,0
nines,0
plany,0
neighrbohood,0
parks/,0
clang,0
abría,0
sopes,0
zooey,0
nits,0
building,0
bussing,0
placea,0
neighboardhoud,0
lahey,0
villes,0
option,0
vacacion,0
closet/,0
kara`s,0
patty,0
walley,0
value~,0
reasons,0
aleks,0
beighborhood,0
liana,0
greta,0
hoards,0
nagle,0
they‘re,0
quilting,0
munis,0
there(as,0
tongs,0
malte,0
ahlem,0
loation,0
arenas,0
portion,0
palces,0
treat--,0
hasley,0
place.l,0
crema,0
maile,0
parkas,0
place!it,0
spits,0
srea,0
-karma,0
2baths,0
gained,0
shine,0
neigbhorhood,0
zonas,0
amel`s,0
lynne,0
neighboorhod,0
lione,0
sation,0
great/,0
rêvions,0
blading,0
baigne,0
lands,0
laire,0
lale,0
taille,0
karine,0
-building,0
karla,0
ellei,0
neighbor,0
l'année,0
alwas,0
neirghborhood,0
locado,0
molds,0
-there,0
barley,0
locations-,0
"neighborhood-,ie",0
sallie,0
laners,0
-neighbor,0
neighbohood,0
vacation,0
laie,0
billig,0
huddling,0
rebuilding,0
locati0on,0
crowd,0
place---,0
agree--,0
communion,0
sonus,0
možne,0
fatus,0
surrunding,0
palates,0
facility,0
pagas,0
plase,0
place!!i,0
patios,0
l'aller,0
neiboughood,0
frear,0
paire,0
faits,0
~one,0
neighbourhoud,0
nulle,0
lager,0
varma,0
bagle,0
ponce,0
flank,0
neighbothood,0
moans,0
valet,0
locati,0
press,0
neighborhold,0
knats,0
building)/so,0
suction,0
pages,0
terrior,0
kelley,0
surroaundings,0
korea,0
potts,0
ross´s,0
arti´s,0
biography,0
kladne,0
irmas,0
chits,0
space(s,0
unika,0
willey,0
hallo,0
neighbors-,0
ample,0
molding,0
cosey,0
nieghbors,0
neighbourg,0
pithy,0
helle,0
large-,0
podes,0
colocation,0
proxomity,0
pases,0
wasne,0
darla,0
there-,0
reams,0
galley,0
uniqu,0
area(s,0
ilene,0
valleys,0
zante,0
locarei,0
loccation,0
l'occasion,0
loacation,0
l'area,0
table-,0
aras,0
abdrea,0
"all,10",0
araña,0
pokes,0
preus,0
boars,0
alte,0
deaths,0
transit/,0
roams,0
glare,0
oakside,0
location-3,0
lucile,0
man.we,0
daller,0
pation,0
saine,0
neighbur,0
jones,0
allées,0
vocations,0
hodad,0
uilding,0
atmosfera,0
laute,0
daryas,0
dates/,0
lease,0
ruoan,0
noams,0
wille,0
neiborhud,0
honest,0
commune,0
daire,0
cares,0
carine,0
mainstream,0
neghborhood,0
rea,0
neighborhoody,0
linee,0
darya,0
onstreet,0
allan,0
willing,0
ropes,0
région,0
closet,0
pastas,0
patti,0
lane,0
neigbourghood,0
potes,0
larue,0
doces,0
voids,0
-bedding,0
neigboors,0
enviornent,0
paul´s,0
neighnorhood,0
jarras,0
detrick,0
allà,0
loval,0
lacks,0
nighborhood,0
martas,0
alíen,0
sorely,0
suburbia,0
commun,0
dara´s,0
notation,0
transit,0
tarja,0
9$/one,0
neighbourhoor,0
gregs,0
closet.i,0
locatef,0
prices,0
arjay,0
all3,0
morale,0
alina,0
dream--,0
strest,0
allix,0
payard,0
legions,0
pasas,0
coles,0
liner,0
ville,0
bonus!,0
location-1,0
lication-,0
breal,0
great!,0
outdooor,0
mathis,0
abreha,0
leise,0
localiza,0
.great,0
gable,0
clase,0
allo,0
brads,0
place!!,0
satation,0
lanche,0
dane´s,0
neighboardhood,0
neigh,0
alse,0
screens,0
locoation,0
",close",0
ohone,0
locationw,0
apple/,0
llave,0
allen,0
calue,0
halie,0
arayas,0
dorne,0
agree,0
loyalty,0
vellay,0
huone,0
/urine,0
neighberhood,0
grace‘s,0
planes,0
are-,0
survey,0
burbs,0
4-lane,0
allene,0
locely,0
lints,0
head's,0
alkie,0
taller,0
exits,0
palace,0
landy,0
neighbored,0
railroaded,0
marek,0
donation,0
levine,0
kallie,0
close,0
aries,0
zowel,0
---one,0
wreaks,0
aren´t,0
unitek,0
arwen,0
adera,0
blanc,0
coner,0
erea,0
grads,0
poles,0
swine,0
wayne,0
janes,0
patio/,0
great--,0
larga,0
sonals,0
sazone,0
rondo,0
bedding-,0
steels,0
there´s,0
moses,0
scale,0
mines,0
localtion,0
loaner,0
alll,0
greast,0
pathe,0
ravine,0
2-nite,0
proxility,0
vlads,0
kone,0
hines,0
all--,0
-neighbors,0
allez,0
neghbors,0
place(''my,0
bone/,0
falla,0
to.and,0
straits,0
faine,0
apt.is,0
traine,0
allot,0
sane,0
vacantion,0
unions,0
coves,0
pllace,0
2streets,0
disrict,0
poids,0
rond,0
carey,0
tunes,0
cuits,0
bumping,0
vanity,0
screem,0
sheets--,0
lajune,0
neighborhoodi,0
/night,0
rainey,0
zo'n,0
locationis,0
path,0
unités,0
distrikt,0
univ.is,0
unitll,0
wanne,0
they’re,0
neighbohrood,0
street,0
until,0
streak,0
great,0
allas,0
broad,0
storey,0
sourounding,0
streeter,0
proximitity,0
comminity,0
steets,0
enviro,0
blding,0
roars,0
fares,0
lani‘s,0
retreet,0
faina,0
there!!:-,0
communiates,0
neiboorhood,0
heared,0
-neighborhood,0
creaks,0
plade,0
splace,0
neigboorhood,0
plants-,0
nieghboorhood,0
kalte,0
great!-,0
dante,0
location(10,0
leite,0
orcas,0
"neighbourhood,5",0
zains,0
rolands,0
petes,0
papás,0
stried,0
żonie,0
rocation,0
holding,0
busing,0
reasons:-,0
alike,0
deras,0
neigchbourhood,0
lactation,0
matha,0
putts,0
neighborgs,0
restrict,0
communte,0
synes,0
closed,0
petrs,0
peine,0
-paint,0
nodes,0
steeps,0
distrito,0
lange,0
-place,0
crews,0
loxation,0
strick,0
place!he,0
pagos,0
street/38,0
naime,0
jareds,0
luana,0
neigborhoud,0
feelling,0
alice,0
kopals,0
lame,0
neiberhoud,0
strict,0
aread,0
locatedn,0
bonnes,0
lacey,0
-holes,0
done--,0
neighbornhood,0
diwnstsirs,0
mulling,0
place=,0
ponds,0
volle,0
patio--,0
sara´s,0
atmophere,0
location!-,0
creat,0
buildings/,0
avrei,0
bland,0
falló,0
parla,0
canine,0
steep,0
parens,0
regis,0
aguas,0
aera,0
neighubourhood,0
stretto,0
gomes,0
falls,0
ny'streets,0
lokalen,0
rose‘s,0
landet,0
neibourghwood,0
buzones,0
mande,0
/buying,0
86street,0
localted,0
greg`s,0
vaina,0
6-line,0
soaps,0
poner,0
baile,0
arlex,0
bustling,0
locacition,0
don'ts,0
catha,0
all-5,0
lucali,0
ostrich,0
nuits,0
️all,0
alex´s,0
sliding,0
placesis,0
aneta,0
roles,0
legals,0
goves,0
vacation/,0
neiborough,0
dreams,0
rads,0
placewas,0
udistrict,0
nighboors,0
sheets,0
.allen,0
--(great,0
stets,0
panes,0
streamside,0
they´re,0
pkace,0
there~,0
xanex,0
janine,0
darle,0
rosand,0
lulling,0
beths,0
atmosphore,0
lakecation,0
suroundings,0
unica,0
pilates,0
thare,0
establishment,0
withs,0
tarek,0
14(one,0
buildinh,0
neirbourghood,0
restions,0
plalce,0
waller,0
karen´s,0
neighborhood--,0
there‘s,0
beine,0
layed,0
l’aise,0
neighbordhood,0
locks,0
undity,0
rheas,0
alexs,0
mone,0
location~~,0
arret,0
honed,0
unites,0
tomes,0
pastis,0
viccation,0
apnea,0
communityy,0
neghbohood,0
sally,0
paint,0
ropas,0
panel,0
mable,0
luca´s,0
locationwith,0
/rooms,0
soner,0
cores,0
vines,0
loraine,0
spine,0
placee,0
aroma,0
location-14,0
-unit,0
whine,0
vorne,0
l’occasion,0
destrict,0
treat,0
placers,0
rowed,0
kathi,0
carta,0
neihbours,0
l'aise,0
•great,0
transits,0
nonos,0
brood,0
station/,0
locator,0
steep--,0
enviromment,0
cuddling,0
admas,0
bullying,0
location.close,0
lan,0
oozes,0
freaks,0
pasos,0
luina,0
neibourhood,0
sonne,0
bolting,0
sheets/,0
lucas,0
boocation,0
flakes,0
totale,0
langes,0
reals,0
unità,0
line:-,0
peras,0
codes/,0
anna‘s,0
fälle,0
holle,0
peripheral,0
lovtion,0
placre,0
location($4,0
renas,0
envious,0
neighborgood,0
pasha,0
neigbourhood,0
lager-,0
langue,0
label,0
surrondings,0
street(if,0
datas,0
spreekt,0
closers,0
barta,0
parle,0
roots,0
outlook,0
yanev,0
-alice,0
zona,0
locasion,0
great-,0
noses,0
unction,0
caress,0
mairea,0
clare,0
bared,0
ryan´s,0
trent,0
neighboorhoods,0
locatrd,0
path!la,0
suberb,0
routs,0
lapse,0
neihbourhood,0
cream,0
great‎,0
grea5,0
plaine,0
glance,0
plecer,0
placė,0
station-,0
sante,0
datos,0
neighbourough,0
patře,0
locaed,0
oone,0
foods,0
locations,0
andea,0
liang,0
"j""line",0
transit-,0
alls,0
buiding,0
placets,0
homes,0
atmosferze,0
"location,20",0
distrect,0
logans,0
slate,0
unidos,0
reasons--,0
loras,0
plans,0
reigns,0
proximité,0
aveda,0
claen,0
neighborhhod,0
neigbors,0
alena‘s,0
tzong,0
words,0
location(it,0
estricta,0
place(it,0
neightborhood,0
gateway,0
blain,0
soone,0
holes,0
locatioj,0
p.s.the,0
neighbordhoood,0
yanie,0
jaren,0
agrees,0
ardens,0
alley,0
altas,0
allis,0
range,0
house.near,0
pleace,0
deine,0
salles,0
rowan,0
close~,0
talea,0
darja,0
lokalita,0
holds,0
panne,0
slant,0
honey,0
blank,0
chane,0
great‼️,0
tline,0
sheet-,0
rotos,0
sunita,0
oates,0
lorne,0
stereos,0
neibhoord,0
nerghborhood,0
minits,0
junes,0
wrens,0
place--,0
option--,0
slits,0
iains,0
place‼️,0
notes,0
arond,0
-close,0
lokatie,0
thine,0
located,0
downstairs--,0
abled,0
neigborhoods,0
distract,0
28$.location,0
.neighborhood,0
atmosphire,0
latins,0
-sweet,0
upath,0
lände,0
place-,0
place~~^^,0
palce,0
location(not,0
pails,0
cain't,0
alone~,0
neighbar,0
stones,0
halli,0
allso,0
lawned,0
admosphere,0
raise,0
walkways,0
auction,0
n'bhood,0
placesto,0
laras,0
araa,0
environment-,0
reade,0
telling,0
strert,0
neighbours,0
lade,0
anna´s,0
gone/,0
locatiion,0
rodea,0
gains,0
vecenity,0
buidling,0
large,0
l’an,0
locatie,0
atmosphare,0
.andrea,0
artis,0
neibor,0
heighs,0
building(as,0
llits,0
arnav,0
neighbourly,0
wares,0
reasy,0
plains,0
line1,0
stweet,0
ustreet,0
rools,0
neihgborhood,0
money,0
leads,0
ellen,0
hodads,0
gallery-,0
neighbhourhood,0
.one,0
aretha,0
colds,0
streetscape,0
cartas,0
plank,0
plkace,0
éliane,0
jokes,0
neighboordhood,0
3/4ths,0
room´s,0
units,0
totales,0
locatin,0
downstarirs,0
lake-,0
crosby,0
lave,0
areal,0
cone,0
toney,0
vicinato,0
monde,0
kathy,0
unite,0
oakley,0
.neighbourhood,0
niats,0
rondi,0
loction,0
laden,0
location:-,0
carne,0
balling,0
rood,0
--close,0
localini,0
cane,0
lakes,0
reunions,0
valey,0
2-unit,0
pauls,0
baycation,0
none,0
brits,0
naive,0
greatlocatio,0
athmospere,0
l'une,0
porad,0
falte,0
nighbor,0
andas,0
prone,0
volley,0
calla,0
neighborhods,0
l'école,0
locaton,0
.location,0
locate,0
.alles,0
neigbor,0
skrevet,0
borne,0
soaps/,0
lana,0
garer,0
sarya,0
neige,0
neighborood,0
enviorment,0
station)-,0
plumes,0
soars,0
ryan’s,0
neighbourdhood,0
value/,0
lazing,0
janae,0
balde,0
unit,0
neigherhood,0
6line,0
neighboors,0
arik‘s,0
atomosphere,0
towes,0
laved,0
baits,0
rounds,0
arian,0
neighbborhood,0
halbe,0
backboard,0
paige,0
zonder,0
neighborhood(i,0
aproximity,0
rande,0
lcation,0
unicos,0
nabohood,0
adèle,0
rward,0
distinations,0
dowmstairs,0
round,0
theater,0
alfie,0
buildign,0
alann,0
dally,0
screen/,0
roland-,0
gatos,0
zaret,0
closets,0
unión,0
sorbets,0
area.of,0
zonk,0
doves,0
paris,0
regina,0
neibour,0
break,0
rooks,0
outdoorsy,0
placés,0
naboorhood,0
venions,0
jaime,0
alten,0
groud,0
vicini,0
klare,0
neigbhourhood,0
locali,0
neighborohood,0
glads,0
pâtés,0
highway,0
marfa,0
felling,0
are~,0
arent,0
undies,0
locstion,0
voies,0
lynee,0
neihborhood,0
genes,0
nocal,0
-roland,0
buying,0
zane,0
sable,0
abreast,0
barra,0
diane,0
gread,0
eviroment,0
lynde,0
manue,0
neighborhgood,0
strich,0
option-,0
adela,0
dealings,0
pocas,0
neighboirhood,0
blaines,0
dayne,0
bacation,0
jaelle,0
9nuits,0
chads,0
environmental,0
transito,0
loins,0
"close,",0
neighbourgs,0
-local,0
prolixity,0
neitherborhood,0
ancas,0
ara,0
lanka,0
pâtes,0
players,0
donte,0
closely,0
danke,0
pete‘s,0
buliding,0
parts,0
night-,0
geographic,0
elaines,0
laten,0
lianne,0
there!),0
sourronding,0
jonas,0
grits,0
treats,0
steeet,0
rd.and,0
bonds,0
kaley,0
záret,0
folding,0
steel,0
aunts,0
pleaces,0
peace--,0
locally,0
maría,0
drone,0
ronaks,0
immunity,0
sheets-,0
monet,0
lcoation,0
plans-,0
-ample,0
akeda,0
surrounded,0
destiantions,0
scones,0
communition,0
spaces,0
buckling,0
strait,0
glades,0
fonte,0
unidas,0
there'a,0
plance,0
marenas,0
sreets,0
leaned,0
ovations,0
screen,0
raide,0
locación,0
baths,0
nbhoods,0
pone,0
transitin,0
atomsphere,0
greg‘s,0
robes/,0
-none,0
bundling,0
neighbourhood-,0
downstairs,0
atmostphere,0
aren‘t,0
builds,0
dontes,0
districted,0
ruths,0
vicinitiy,0
grear,0
caite,0
lving,0
.close,0
caras,0
there!l,0
daría,0
bending,0
legion,0
tomales,0
allô,0
destinatioins,0
longs,0
áreas,0
robes,0
langs,0
aisle,0
park(s,0
allar,0
lake,0
votes,0
0lace,0
locais,0
arras,0
reasons:)-,0
estabkishments,0
sorrounding,0
karen,0
lone,0
puces,0
daise,0
regionl,0
there:/,0
comunica,0
vacaton,0
leanne,0
katjs,0
garda,0
bates,0
arya,0
pants,0
neighborz,0
location(in,0
wande,0
roped,0
surroudings,0
aryeh,0
placet,0
nbhood,0
ronald´s,0
allé,0
1line,0
streett,0
closest,0
planches,0
stress,0
arepa,0
crowds,0
gnats,0
prenions,0
one),0
irena,0
baing,0
aérea,0
leone,0
place.i,0
l'atmosphère,0
bonos,0
comes,0
location!on,0
blare,0
locatiom,0
allied,0
shits,0
phones,0
lavae,0
laken,0
local/,0
notes-,0
fatu`s,0
omits,0
nighbourhood,0
dines,0
duane,0
zones,0
jared,0
algae,0
arka,0
elaine‘s,0
laila,0
bread-,0
cathys,0
locay,0
jose‘s,0
dance,0
lunitas,0
burning,0
f'reals,0
enviaron,0
ligne,0
areta,0
arsen,0
agreat,0
tread,0
royal,0
lavet,0
cally,0
heigh,0
location-,0
ation,0
balls,0
downstate,0
loaned,0
out.for,0
kalli,0
-loads,0
agile,0
dreads,0
halte,0
neighborgh,0
are--,0
stream-,0
wallet,0
stelt,0
parcs,0
bongs,0
supurb,0
gretas,0
sanne,0
crossroads--,0
neighbourhod,0
adler,0
kelle,0
naborhood,0
outdoes,0
great~,0
bullrig,0
-cable,0
beding,0
one(s,0
acres,0
joaine,0
neighbourood,0
neighorhood,0
daycation,0
banen,0
done,0
lances,0
orale,0
ronald,0
faune,0
sideways,0
agnes,0
alexa´s,0
buldings,0
parma,0
regine,0
aleka,0
allan-,0
karley,0
great-----,0
regionen,0
rad,0
blade,0
varen,0
ruth”s,0
athmosphre,0
apres,0
theatre,0
comunitary,0
location,0
respons,0
environnants,0
building-,0
allt,0
n'allez,0
-all,0
street-,0
wione,0
pastes,0
aea,0
districts,0
neighbirhood,0
gayle,0
sourrounding,0
rations,0
plave,0
read,0
.there,0
dwellings,0
locaition,0
yates,0
aeris,0
clave,0
hable,0
-sliding,0
sweeeet,0
kathy-,0
salle,0
2-lane,0
allude,0
elle,0
calle,0
rods,0
hallway,0
read--,0
commune(it,0
alime,0
raney,0
atmospher,0
greasy,0
there;-,0
occations,0
amenas,0
plates/,0
plads,0
