word,freq,is_it_safe,describing_neighborhood
stop,130,-1,-1
check,128,-1,-1
places close,128,-1,-1
out,126,-1,-1
mit,126,-1,-1
campus,124,-1,-1
transportation close,124,-1,-1
inside,123,-1,-1
helpful,123,-1,-1
us ideal,122,-1,-1
great neighborhood,122,-1,-1
short walk,122,-1,-1
relative,122,-1,-1
evening,121,-1,-1
train,121,-1,-1
music,120,-1,-1
adjacent,120,-1,-1
great places,119,-1,-1
hill,119,-1,-1
so cute,119,-1,-1
key,119,-1,-1
was,119,-1,-1
very charming,119,-1,-1
road,118,-1,-1
very cool,118,-1,-1
bathroom,118,-1,-1
downtown away,117,-1,-1
absolutely beautiful,117,-1,-1
station walk,116,-1,-1
perfect-,116,-1,-1
exactly described,116,-1,-1
super safe,115,1,-1
incredibly convenient,115,-1,-1
really,114,-1,-1
bay,114,-1,-1
very secure,114,-1,-1
areas,114,-1,-1
very pretty,113,-1,-1
great area,113,-1,-1
super nice,112,-1,-1
game,112,-1,-1
exceptional,111,-1,-1
stores,110,-1,-1
way,110,-1,-1
anywhere,110,-1,-1
need,110,-1,-1
go,110,-1,-1
very responsive,109,-1,-1
quiet area,108,-1,-1
always,108,-1,-1
t close,108,-1,-1
decent,107,-1,-1
easily accessible,107,-1,-1
trip,107,-1,-1
extremely quiet,106,-1,-1
very welcoming,106,-1,-1
it 's,105,-1,-1
shops close,105,-1,-1
anything,105,-1,-1
very loud,104,-1,-1
delightful,104,-1,-1
perfectly,104,-1,-1
access perfect,104,-1,-1
value,103,-1,-1
above,103,-1,-1
restaurants full,103,-1,-1
very spacious,102,-1,-1
extremely safe,102,1,-1
country,102,-1,-1
best part,101,-1,-1
communication,101,-1,-1
so,101,-1,-1
my stay,101,-1,-1
shopping,101,-1,-1
restaurants plenty,100,-1,-1
line,100,-1,-1
activities,99,-1,-1
open,99,-1,-1
absolutely amazing,99,-1,-1
very station close,99,-1,-1
far,99,-1,-1
literally,99,-1,-1
attractions,98,-1,-1
very private,98,-1,-1
so beautiful,98,-1,-1
!bad,97,-1,-1
dirty,97,-1,-1
downtown convenient,97,-1,-1
nice quiet neighborhood,97,-1,-1
pretty,96,-1,-1
water,96,-1,-1
cafes,96,-1,-1
soco,96,-1,-1
experience,95,-1,-1
great host,94,-1,-1
restaurants lot,94,-1,-1
you visiting,94,-1,-1
everything middle,93,-1,-1
dinner,93,-1,-1
very downtown convenient,93,-1,-1
relatively quiet,93,-1,-1
work,92,-1,-1
run,92,-1,-1
really cool,92,-1,-1
very noisy,91,-1,-1
really cute,91,-1,-1
modern,91,-1,-1
steps,91,-1,-1
other,90,-1,-1
couple,90,-1,-1
even better,90,-1,-1
point,90,-1,-1
stellar,90,-1,-1
dark,89,-1,-1
beautiful neighborhood,89,-1,-1
interesting,89,-1,-1
huge plus,89,-1,-1
large,89,-1,-1
safe neighborhood,88,1,-1
lake,88,-1,-1
streets,88,-1,-1
door,87,-1,-1
breakfast,87,-1,-1
down,87,-1,-1
are,87,-1,-1
austin close,87,-1,-1
great-,86,-1,-1
pretty safe,86,1,-1
super friendly,86,-1,-1
portsmouth,85,-1,-1
easy access,85,-1,-1
we looking,84,-1,-1
brilliant,84,-1,-1
very quaint,84,-1,-1
fairly quiet,83,-1,-1
great amenities,83,-1,-1
perfect place,83,-1,-1
groceries,82,-1,-1
lots close,82,-1,-1
pretty convenient,82,-1,-1
university,82,-1,-1
places plenty,82,-1,-1
very residential,82,-1,-1
fenway,82,-1,-1
many places,82,-1,-1
street close,82,-1,-1
am,81,-1,-1
nice area,81,-1,-1
quickly,81,-1,-1
picturesque,81,-1,-1
side,81,-1,-1
friends,81,-1,-1
tv,80,-1,-1
around walk,80,-1,-1
enjoy,80,-1,-1
very old,80,-1,-1
party,80,-1,-1
places lot,80,-1,-1
!great,79,-1,-1
going,79,-1,-1
breeze,78,-1,-1
tons,78,-1,-1
bit,78,-1,-1
so everything close,78,-1,-1
handy,78,-1,-1
area close,77,-1,-1
stunning,77,-1,-1
quiet residential area,77,-1,-1
huge,77,-1,-1
!more convenient,77,-1,-1
best one,77,-1,-1
complete,77,-1,-1
across,76,-1,-1
indeed,76,-1,-1
close proximity,76,-1,-1
minute,76,-1,-1
attractions close,75,-1,-1
close by,75,-1,-1
many restaurants,74,-1,-1
!problem,74,-1,-1
common,74,-1,-1
something,74,-1,-1
views,73,-1,-1
parking plenty,73,-1,-1
residential area,73,-1,-1
public transport,73,-1,-1
miles,72,-1,-1
so peaceful,72,-1,-1
's,72,-1,-1
restaurants great,72,-1,-1
too great,72,-1,-1
me great,72,-1,-1
warm,71,-1,-1
t.,71,-1,-1
hours,71,-1,-1
so great,71,-1,-1
wedding,71,-1,-1
directly,70,-1,-1
highway,70,-1,-1
we had,70,-1,-1
easy downtown access,70,-1,-1
just described,69,-1,-1
together,69,-1,-1
access easy,69,-1,-1
quite convenient,69,-1,-1
subway close,69,-1,-1
gym,69,-1,-1
secluded,68,-1,-1
walking everything distance,68,-1,-1
parks,68,-1,-1
really beautiful,68,-1,-1
attending,68,-1,-1
line close,68,-1,-1
quite safe,68,1,-1
very restaurants close,68,-1,-1
st,68,-1,-1
beds,68,-1,-1
short drive,68,-1,-1
boston close,67,-1,-1
there is,67,-1,-1
great spot,67,-1,-1
actually,67,-1,-1
ever,67,-1,-1
very everything close,67,-1,-1
we needed,66,-1,-1
walks,66,-1,-1
pretty nice,66,-1,-1
!safe,66,2,-1
transportation,66,-1,-1
spotless,66,-1,-1
there are,66,-1,-1
bedroom,65,-1,-1
sights,65,-1,-1
however,65,-1,-1
neighbors,65,-1,-1
expected,65,-1,-1
privacy,65,-1,-1
upscale,65,-1,-1
drinks,64,-1,-1
foods,64,-1,-1
further,64,-1,-1
unit,64,-1,-1
places distance,64,-1,-1
very ideal,63,-1,-1
you want,63,-1,-1
springs,63,-1,-1
ave,63,-1,-1
beaten path,62,-1,-1
much,62,-1,-1
good location,62,-1,-1
any better,62,-1,-1
serene,62,-1,-1
busy street,61,-1,-1
public transit,61,-1,-1
my trip,61,-1,-1
restaurants convenient,61,-1,-1
bonus,61,-1,-1
hip,61,-1,-1
so perfect,61,-1,-1
off,60,-1,-1
downtown far,60,-1,-1
unbelievable,60,-1,-1
quite good,60,-1,-1
unsafe,60,2,-1
plain,60,-1,-1
lots great,60,-1,-1
yard,60,-1,-1
very accessible,60,-1,-1
pretty great,60,-1,-1
well lit,60,-1,-1
big plus,59,-1,-1
property,59,-1,-1
none second,59,-1,-1
!at all,59,-1,-1
just right,59,-1,-1
trails,59,-1,-1
which is,59,-1,-1
centre,59,-1,-1
to,59,-1,-1
!much,59,-1,-1
so much,59,-1,-1
shops distance,58,-1,-1
nightlife,58,-1,-1
advertised,58,-1,-1
great value,58,-1,-1
downtown drive,58,-1,-1
very conveniently located,58,-1,-1
very accommodating,58,-1,-1
end heart,58,-1,-1
transportation convenient,58,-1,-1
stores close,57,-1,-1
them,57,-1,-1
lamar,57,-1,-1
rockport,57,-1,-1
!night,57,-1,-1
somerville,57,-1,-1
most places,57,-1,-1
very quiet neighborhood,57,-1,-1
residential neighborhood,57,-1,-1
view,56,-1,-1
nice place,56,-1,-1
stop close,56,-1,-1
!ideal,56,-1,-1
great food,56,-1,-1
shops lots,56,-1,-1
boston heart,56,-1,-1
short downtown drive,56,-1,-1
both,55,-1,-1
life,55,-1,-1
sites,55,-1,-1
free,55,-1,-1
!too downtown far,55,-1,-1
very easy,55,-1,-1
needs great,54,-1,-1
take,54,-1,-1
mile,54,-1,-1
very relaxing,54,-1,-1
vibrant,54,-1,-1
so charming,54,-1,-1
gated,54,-1,-1
very airport close,53,-1,-1
it walking,53,-1,-1
conference,53,-1,-1
bite,53,-1,-1
dining,53,-1,-1
square walk,53,-1,-1
feel,53,-1,-1
scenic,53,-1,-1
little,53,-1,-1
easy walk,53,-1,-1
very busy,53,-1,-1
brookline,53,-1,-1
stroll,53,-1,-1
exploring,53,-1,-1
all close,52,-1,-1
perfect spot,52,-1,-1
quite old,52,-1,-1
enough downtown close,52,-1,-1
wise,52,-1,-1
plymouth,52,-1,-1
restaurants walkable,52,-1,-1
ut,52,-1,-1
college,52,-1,-1
charm,52,-1,-1
peace,52,-1,-1
areas close,52,-1,-1
city close,52,-1,-1
quiet residential neighborhood,52,-1,-1
austin heart,52,-1,-1
atmosphere,52,-1,-1
absolutely fantastic,51,-1,-1
this,51,-1,-1
affordable,51,-1,-1
!either,51,-1,-1
good restaurants,51,-1,-1
our family,51,-1,-1
process,51,-1,-1
acl,51,-1,-1
austin all,51,-1,-1
walking places distance,51,-1,-1
station away,51,-1,-1
unique,50,-1,-1
downtown ride,50,-1,-1
really lovely,50,-1,-1
very nice neighborhood,50,-1,-1
our group,50,-1,-1
it ’s,50,-1,-1
you need,50,-1,-1
were,50,-1,-1
immaculate,50,-1,-1
surprisingly quiet,50,-1,-1
very well,50,-1,-1
our expectations,50,-1,-1
walking shops distance,49,-1,-1
convenient location,49,-1,-1
possible,49,-1,-1
closer,49,-1,-1
nothing,49,-1,-1
narrow,49,-1,-1
me ideal,49,-1,-1
games,49,-1,-1
rooms,49,-1,-1
!downtown far,49,-1,-1
neat,49,-1,-1
downtown distance,49,-1,-1
short ride,49,-1,-1
locally,48,-1,-1
quick,48,-1,-1
train close,48,-1,-1
spots,48,-1,-1
bedrooms,48,-1,-1
so good,48,-1,-1
stylish,48,-1,-1
pm,48,-1,-1
super clean,48,-1,-1
station minutes,48,-1,-1
bars close,48,-1,-1
center close,48,-1,-1
able,48,-1,-1
're,47,-1,-1
pretty central,47,-1,-1
days,47,-1,-1
some,47,-1,-1
by,47,-1,-1
bars distance,47,-1,-1
places convenient,47,-1,-1
find,47,-1,-1
square close,47,-1,-1
short restaurants walk,47,-1,-1
driving,47,-1,-1
our visit,46,-1,-1
kind,46,-1,-1
it around get easy,46,-1,-1
front,46,-1,-1
evenings,46,-1,-1
we wanted,46,-1,-1
hard,46,-1,-1
mornings,46,-1,-1
historic,46,-1,-1
permit,46,-1,-1
area convenient,46,-1,-1
places full,45,-1,-1
!us,45,-1,-1
those great,45,-1,-1
great everything close,45,-1,-1
shore,45,-1,-1
so friendly,45,-1,-1
absolutely wonderful,45,-1,-1
someone,45,-1,-1
highways,45,-1,-1
things close,45,-1,-1
when visiting,45,-1,-1
very cozy,45,-1,-1
those ideal,44,-1,-1
students,44,-1,-1
free parking,44,-1,-1
accurate,44,-1,-1
visit great,44,-1,-1
proper,44,-1,-1
quite loud,44,-1,-1
garden,44,-1,-1
late,44,-1,-1
big,44,-1,-1
harvard close,44,-1,-1
nice touch,44,-1,-1
events,44,-1,-1
safe area,44,1,-1
hotel,43,-1,-1
dogs,43,-1,-1
congress close,43,-1,-1
away walk,43,-1,-1
super helpful,43,-1,-1
by surrounded,43,-1,-1
only,43,-1,-1
traveling,43,-1,-1
very t close,43,-1,-1
absolutely gorgeous,43,-1,-1
quiet neighbourhood,43,-1,-1
homey,43,-1,-1
walks great,43,-1,-1
street away,43,-1,-1
street end,43,-1,-1
town close,43,-1,-1
spots close,43,-1,-1
great base,42,-1,-1
loud music,42,-1,-1
perfection,42,-1,-1
restaurants tons,42,-1,-1
plan,42,-1,-1
so close,42,-1,-1
added bonus,42,-1,-1
walk great,42,-1,-1
absolutely great,42,-1,-1
part,42,-1,-1
district,42,-1,-1
everything away,42,-1,-1
just beautiful,42,-1,-1
hidden,42,-1,-1
transport close,42,-1,-1
stops,42,-1,-1
everything great,42,-1,-1
over,42,-1,-1
lovely neighborhood,42,-1,-1
local area,41,-1,-1
6th,41,-1,-1
places one,41,-1,-1
sxsw,41,-1,-1
visit perfect,41,-1,-1
porch,41,-1,-1
patio,41,-1,-1
community,41,-1,-1
like,41,-1,-1
transit,41,-1,-1
places great,41,-1,-1
by close,41,-1,-1
pretty loud,41,-1,-1
metro,41,-1,-1
so downtown close,41,-1,-1
everything minutes,41,-1,-1
!me,40,-1,-1
early morning,40,-1,-1
nights,40,-1,-1
units,40,-1,-1
ocean,40,-1,-1
hustle away,40,-1,-1
night late,40,-1,-1
tidy,40,-1,-1
great restaurants close,40,-1,-1
tufts,40,-1,-1
!more,40,-1,-1
cafe,40,-1,-1
as advertised,40,-1,-1
using,40,-1,-1
very everything convenient,40,-1,-1
relaxing,40,-1,-1
austin convenient,40,-1,-1
restaurant,40,-1,-1
areas one,40,-1,-1
domain,39,-1,-1
city away,39,-1,-1
transition,39,-1,-1
love,39,-1,-1
idyllic,39,-1,-1
plenty great,39,-1,-1
!greatest,39,-1,-1
commons,39,-1,-1
navigate easy,39,-1,-1
terms,39,-1,-1
really friendly,39,-1,-1
easy boston access,39,-1,-1
cute neighborhood,39,-1,-1
base,39,-1,-1
little run,39,-1,-1
quick ride,39,-1,-1
planning,39,-1,-1
we were,39,-1,-1
do,39,-1,-1
quite noisy,39,-1,-1
super cool,39,-1,-1
great downtown close,39,-1,-1
great quiet neighborhood,39,-1,-1
edges rough,39,-1,-1
yourself,39,-1,-1
austin minutes,39,-1,-1
austin best,39,-1,-1
access ideal,38,-1,-1
!more ideal,38,-1,-1
easily walkable,38,-1,-1
cleaner,38,-1,-1
very boston close,38,-1,-1
italy,38,-1,-1
about walk,38,-1,-1
lyft,38,-1,-1
conveniently,38,-1,-1
local restaurants,38,-1,-1
guests,38,-1,-1
!nicest,38,-1,-1
quiet residential street,38,-1,-1
transit close,38,-1,-1
complex,38,-1,-1
neighborhoods,38,-1,-1
boston anywhere,37,-1,-1
access excellent,37,-1,-1
bike,37,-1,-1
character,37,-1,-1
very find easy,37,-1,-1
trees,37,-1,-1
stuff,37,-1,-1
!you have,37,-1,-1
needed,37,-1,-1
neighborhoods one,37,-1,-1
gem,37,-1,-1
beach close,37,-1,-1
just great,37,-1,-1
important,37,-1,-1
lot great,37,-1,-1
newburyport,37,-1,-1
responsive,37,-1,-1
stop walk,37,-1,-1
getaway,37,-1,-1
boston all,37,-1,-1
bars lots,37,-1,-1
marblehead,37,-1,-1
dream,37,-1,-1
central location,37,-1,-1
i looking,37,-1,-1
chill,37,-1,-1
very street close,37,-1,-1
size,36,-1,-1
area great,36,-1,-1
options plenty,36,-1,-1
enough everything close,36,-1,-1
very lovely,36,-1,-1
supermarket,36,-1,-1
very get easy,36,-1,-1
gloucester,36,-1,-1
nature,36,-1,-1
very transportation close,36,-1,-1
just amazing,36,-1,-1
airport minutes,36,-1,-1
bar,36,-1,-1
very modern,36,-1,-1
needs perfect,36,-1,-1
super central,36,-1,-1
!area,36,-1,-1
austin anywhere,36,-1,-1
main road,36,-1,-1
quiet safe neighborhood,36,1,-1
wanting,35,-1,-1
meals,35,-1,-1
sidewalks,35,-1,-1
business,35,-1,-1
boston convenient,35,-1,-1
!super,35,-1,-1
pond,35,-1,-1
long day,35,-1,-1
market,35,-1,-1
price great,35,-1,-1
kids,35,-1,-1
square distance,35,-1,-1
website,35,-1,-1
!noise,35,-1,-1
reason,35,-1,-1
!central,35,-1,-1
travel,35,-1,-1
other places,35,-1,-1
character lot,35,-1,-1
very transportation convenient,35,-1,-1
bc,35,-1,-1
really pretty,35,-1,-1
vibe,35,-1,-1
line walk,35,-1,-1
options,35,-1,-1
eclectic,35,-1,-1
more perfect,35,-1,-1
attractive,35,-1,-1
table,35,-1,-1
street distance,35,-1,-1
st.,35,-1,-1
quick downtown ride,35,-1,-1
very lively,34,-1,-1
solid,34,-1,-1
west,34,-1,-1
amenities close,34,-1,-1
you visit want,34,-1,-1
anyone ideal,34,-1,-1
having,34,-1,-1
easy parking,34,-1,-1
bright,34,-1,-1
shady,34,2,-1
ease,34,-1,-1
downtown walk,34,-1,-1
buildings,34,-1,-1
week,34,-1,-1
you explore want,34,-1,-1
!downtown,34,-1,-1
few days,34,-1,-1
my family,34,-1,-1
our weekend,34,-1,-1
downtown heart,33,-1,-1
heat,33,-1,-1
description,33,-1,-1
needs ideal,33,-1,-1
sweet,33,-1,-1
had,33,-1,-1
advantage,33,-1,-1
pretty cool,33,-1,-1
so everything convenient,33,-1,-1
absolutely ideal,33,-1,-1
scary,33,2,-1
summer,33,-1,-1
!boston,33,-1,-1
very new,33,-1,-1
great shops,33,-1,-1
airport convenient,33,-1,-1
very restaurants convenient,33,-1,-1
super everything close,33,-1,-1
dog,33,-1,-1
shops full,32,-1,-1
good food,32,-1,-1
tranquil,32,-1,-1
park close,32,-1,-1
walking attractions distance,32,-1,-1
t convenient,32,-1,-1
marcos,32,-1,-1
day end,32,-1,-1
boston city,32,-1,-1
very everything central,32,-1,-1
questionable,32,2,-1
food close,32,-1,-1
main street,32,-1,-1
easy highways access,32,-1,-1
i needed,32,-1,-1
space plenty,32,-1,-1
roomy,32,-1,-1
located,32,-1,-1
directions,32,-1,-1
restaurants away,32,-1,-1
all convenient,32,-1,-1
so lovely,32,-1,-1
very small,31,-1,-1
easy transportation access,31,-1,-1
just short walk,31,-1,-1
stars,31,-1,-1
!clean,31,-1,-1
surroundings,31,-1,-1
campus close,31,-1,-1
either,31,-1,-1
very line close,31,-1,-1
highway close,31,-1,-1
very safe area,31,1,-1
short station walk,31,-1,-1
completely safe,31,1,-1
park distance,31,-1,-1
eateries,31,-1,-1
walking downtown distance,31,-1,-1
downtown mins,31,-1,-1
ann,31,-1,-1
remote,31,-1,-1
around get,31,-1,-1
easy distance,31,-1,-1
trees lots,31,-1,-1
boston areas,31,-1,-1
street great,31,-1,-1
you plan,30,-1,-1
distance great,30,-1,-1
extremely loud,30,-1,-1
incredibly safe,30,1,-1
quite neighborhood,30,-1,-1
buses,30,-1,-1
all it,30,-1,-1
a+,30,-1,-1
!much better,30,-1,-1
history,30,-1,-1
parking quiet,30,-1,-1
all around,30,-1,-1
subway walk,30,-1,-1
very square close,30,-1,-1
really helpful,30,-1,-1
very stop close,30,-1,-1
proximity great,30,-1,-1
good neighborhood,30,-1,-1
difficult,30,-1,-1
harvard distance,30,-1,-1
island,30,-1,-1
boston best,30,-1,-1
!good,30,-1,-1
weekends,30,-1,-1
!noisy,30,-1,-1
floor,30,-1,-1
safety,30,-1,-1
everything perfect,30,-1,-1
walking square distance,30,-1,-1
all central,30,-1,-1
!issue,30,-1,-1
short downtown ride,30,-1,-1
highways close,30,-1,-1
walking bars distance,29,-1,-1
you like,29,-1,-1
extremely helpful,29,-1,-1
cheap,29,-1,-1
which was,29,-1,-1
rentals,29,-1,-1
alright,29,-1,-1
simply,29,-1,-1
considering,29,-1,-1
houses,29,-1,-1
freeway,29,-1,-1
boston minutes,29,-1,-1
great space,29,-1,-1
so relaxing,29,-1,-1
care,29,-1,-1
!it,29,-1,-1
very kind,29,-1,-1
extremely clean,29,-1,-1
diverse,29,-1,-1
metro close,29,-1,-1
!elevator,29,-1,-1
convenience,29,-1,-1
hour,29,-1,-1
my daughter,29,-1,-1
walking station distance,29,-1,-1
very safe neighborhood,29,1,-1
restaurants perfect,29,-1,-1
access good,29,-1,-1
know,29,-1,-1
homes full,29,-1,-1
boston get,29,-1,-1
shopping close,29,-1,-1
suburbs,29,-1,-1
cod,29,-1,-1
transport,29,-1,-1
seeing,29,-1,-1
midnight,29,-1,-1
comfy,29,-1,-1
hang,29,-1,-1
very area convenient,29,-1,-1
!street,29,-1,-1
city get,29,-1,-1
walking street distance,29,-1,-1
very sweet,29,-1,-1
gentrification,28,-1,-1
really well,28,-1,-1
backyard,28,-1,-1
super downtown close,28,-1,-1
hall,28,-1,-1
die,28,-1,-1
issues,28,-1,-1
very subway close,28,-1,-1
rainey,28,-1,-1
expectations,28,-1,-1
stay great,28,-1,-1
my expectations,28,-1,-1
shower,28,-1,-1
accommodations,28,-1,-1
i had,28,-1,-1
very boston convenient,28,-1,-1
good place,28,-1,-1
super easy,28,-1,-1
very airport convenient,28,-1,-1
very dark,28,-1,-1
!away,28,-1,-1
deck,28,-1,-1
extremely friendly,28,-1,-1
cleanliness,28,-1,-1
city anywhere,28,-1,-1
very quiet street,28,-1,-1
pretty noisy,28,-1,-1
marathon,28,-1,-1
areas convenient,28,-1,-1
woods,28,-1,-1
getting,28,-1,-1
easy city access,28,-1,-1
pretty much,28,-1,-1
sightseeing,28,-1,-1
there were,28,-1,-1
very square convenient,28,-1,-1
around get easy,28,-1,-1
many great restaurants,28,-1,-1
short distance,28,-1,-1
really fun,28,-1,-1
areas distance,28,-1,-1
about downtown drive,28,-1,-1
very convenient location,28,-1,-1
different,27,-1,-1
about station walk,27,-1,-1
same time,27,-1,-1
system,27,-1,-1
fridge,27,-1,-1
trip ideal,27,-1,-1
very area close,27,-1,-1
generally quiet,27,-1,-1
enough close,27,-1,-1
use,27,-1,-1
very center close,27,-1,-1
boston area,27,-1,-1
it worth,27,-1,-1
attractions convenient,27,-1,-1
beautiful homes,27,-1,-1
downtown get,27,-1,-1
entertainment,27,-1,-1
tacos,27,-1,-1
optimal,27,-1,-1
!parking,27,-1,-1
greater area,27,-1,-1
nearby restaurants,27,-1,-1
