word,freq,sentiment_category
campus,124,-1
helpful,123,-1
inside,123,-1
relative,122,-1
ideal us,122,1
short walk,122,1
evening,121,-1
train,121,-1
adjacent,120,-1
music,120,-1
hill,119,-1
very charming,119,1
so cute,119,1
key,119,-1
was,119,-1
bathroom,118,-1
road,118,-1
very cool,118,1
exactly described,117,-1
away downtown,117,-1
absolutely beautiful,117,1
perfect-,116,1
close by,116,1
walk station,115,-1
incredibly convenient,115,1
super safe,115,1
bay,114,-1
very secure,114,1
areas,114,-1
really,114,-1
very pretty,113,1
quiet area,113,1
game,112,-1
super nice,112,1
exceptional,111,1
way,110,-1
go,110,-1
anywhere,110,-1
stores,110,-1
need,110,-1
very responsive,109,-1
always,108,-1
close t,108,-1
trip,107,-1
easily accessible,107,1
decent,107,0
extremely quiet,106,1
very welcoming,106,1
close shops,105,-1
it 's,105,-1
anything,105,-1
perfect access,105,1
delightful,104,1
full restaurants,104,-1
very loud,104,0
perfectly,104,-1
value,103,-1
above,103,-1
extremely safe,102,1
plenty restaurants,102,1
very spacious,102,0
country,102,-1
shopping,101,-1
best part,101,-1
very close station,101,1
so,101,-1
communication,101,-1
my stay,101,-1
line,100,-1
literally,99,-1
far,99,0
open,99,1
activities,99,-1
absolutely amazing,99,1
so beautiful,98,1
attractions,98,-1
very private,98,1
dirty,97,0
!bad,97,0
nice quiet neighborhood,97,1
convenient downtown,97,-1
many places,97,-1
cafes,96,-1
water,96,-1
soco,96,-1
pretty,96,1
experience,95,-1
lot restaurants,94,1
you visiting,94,-1
great host,94,-1
middle everything,93,1
relatively quiet,93,1
dinner,93,-1
very convenient downtown,93,1
really cool,92,1
work,92,-1
run,92,-1
beautiful neighborhood,91,1
modern,91,1
very noisy,91,0
really cute,91,1
steps,91,-1
other,90,-1
stellar,90,1
couple,90,-1
point,90,-1
even better,90,1
large,89,-1
interesting,89,1
huge plus,89,-1
great amenities,89,1
dark,89,-1
safe neighborhood,88,1
streets,88,-1
lake,88,-1
breakfast,87,-1
are,87,-1
down,87,-1
door,87,-1
close austin,87,1
great-,86,1
super friendly,86,-1
pretty safe,86,1
portsmouth,85,-1
very quaint,84,1
we looking,84,-1
perfect place,84,1
brilliant,84,1
plenty places,84,-1
fairly quiet,83,1
close street,82,-1
fenway,82,-1
close lots,82,-1
university,82,-1
very residential,82,1
pretty convenient,82,1
groceries,82,-1
am,81,-1
side,81,-1
close proximity,81,1
quickly,81,-1
picturesque,81,-1
nice area,81,1
friends,81,-1
very old,80,0
party,80,-1
tv,80,-1
enjoy,80,1
walk around,80,-1
lot places,80,-1
!great,79,0
going,79,-1
handy,78,-1
tons,78,-1
so close everything,78,1
bit,78,-1
breeze,78,-1
stunning,77,-1
complete,77,-1
!more convenient,77,1
quiet residential area,77,1
huge,77,-1
close area,77,1
across,76,-1
many restaurants,76,1
minute,76,-1
indeed,76,-1
one best,76,1
close attractions,75,1
something,74,-1
!problem,74,-1
common,74,-1
residential area,73,1
plenty parking,73,-1
public transport,73,-1
views,73,-1
miles,72,-1
so peaceful,72,1
great me,72,-1
easy access downtown,72,1
's,72,-1
so great,71,1
hours,71,-1
t.,71,-1
wedding,71,-1
warm,71,1
great too,71,1
directly,70,-1
we had,70,-1
highway,70,-1
great food,70,1
together,69,-1
quite convenient,69,1
close subway,69,1
gym,69,-1
just described,69,-1
close line,68,-1
quite safe,68,1
very close restaurants,68,1
really beautiful,68,1
st,68,-1
parks,68,-1
walking distance everything,68,1
secluded,68,1
attending,68,-1
beds,68,-1
great spot,68,1
short drive,68,-1
close boston,67,1
there is,67,-1
actually,67,-1
ever,67,-1
very close everything,67,1
we needed,66,-1
transportation,66,-1
there are,66,-1
!safe,66,0
pretty nice,66,1
spotless,66,-1
walks,66,-1
privacy,65,-1
neighbors,65,-1
however,65,-1
sights,65,-1
bedroom,65,-1
upscale,65,1
expected,65,-1
unit,64,-1
further,64,-1
distance places,64,-1
foods,64,-1
drinks,64,-1
most places,64,-1
easy walk,63,1
very ideal,63,1
convenient restaurants,63,1
ave,63,-1
you want,63,-1
springs,63,-1
beaten path,62,0
serene,62,-1
much,62,-1
good location,62,1
any better,62,1
great lots,61,-1
my trip,61,-1
great value,61,-1
public transit,61,-1
hip,61,1
busy street,61,0
so perfect,61,1
bonus,61,-1
unsafe,60,0
unbelievable,60,1
pretty great,60,1
plain,60,-1
very accessible,60,1
well lit,60,1
yard,60,-1
late night,60,-1
quite good,60,1
far downtown,60,0
off,60,-1
to,59,-1
second none,59,1
trails,59,-1
big plus,59,1
just right,59,1
!at all,59,-1
centre,59,-1
which is,59,-1
!much,59,-1
property,59,-1
so much,59,-1
heart end,58,-1
advertised,58,-1
convenient transportation,58,1
distance shops,58,-1
very conveniently located,58,1
drive downtown,58,-1
nightlife,58,-1
very accommodating,58,1
residential neighborhood,57,1
them,57,-1
close stores,57,1
rockport,57,-1
lamar,57,-1
somerville,57,-1
!night,57,-1
good restaurants,57,1
very quiet neighborhood,57,1
heart boston,56,-1
!ideal,56,0
nice place,56,1
early morning,56,-1
close stop,56,1
lots shops,56,1
short drive downtown,56,-1
view,56,-1
very easy,55,1
free,55,-1
sites,55,-1
life,55,-1
!too far downtown,55,1
both,55,-1
vibrant,54,1
mile,54,-1
great stay,54,1
great needs,54,-1
take,54,-1
so charming,54,1
very relaxing,54,1
gated,54,1
brookline,53,-1
very close airport,53,-1
walk square,53,-1
little,53,-1
it walking,53,-1
scenic,53,1
dining,53,-1
stroll,53,-1
very busy,53,0
exploring,53,-1
great proximity,53,1
bite,53,-1
feel,53,-1
conference,53,-1
quite old,52,0
convenient places,52,1
charm,52,1
peace,52,1
great shops,52,1
close areas,52,1
quiet residential neighborhood,52,1
heart austin,52,-1
ut,52,-1
convenient area,52,1
close enough downtown,52,1
college,52,-1
walkable restaurants,52,1
perfect spot,52,1
wise,52,-1
close city,52,1
atmosphere,52,-1
plymouth,52,-1
walking distance places,51,1
great walks,51,1
!either,51,-1
away station,51,-1
process,51,-1
our family,51,-1
acl,51,-1
this,51,-1
close all,51,1
affordable,51,-1
all austin,51,-1
absolutely fantastic,51,1
surprisingly quiet,50,1
you need,50,-1
very well,50,-1
unique,50,1
our group,50,-1
our expectations,50,-1
really lovely,50,1
very nice neighborhood,50,1
it ’s,50,-1
immaculate,50,1
ride downtown,50,-1
were,50,-1
closer,49,-1
short ride,49,-1
convenient location,49,1
ideal me,49,1
walking distance shops,49,1
possible,49,-1
distance downtown,49,-1
!far downtown,49,1
neat,49,1
narrow,49,0
nothing,49,-1
games,49,-1
great walk,49,1
rooms,49,-1
pm,48,-1
bedrooms,48,-1
minutes station,48,1
spots,48,-1
close train,48,1
locally,48,1
so good,48,1
super clean,48,1
able,48,-1
quick,48,-1
close bars,48,-1
stylish,48,1
close center,48,1
some,47,-1
by,47,-1
find,47,-1
driving,47,-1
short walk restaurants,47,1
're,47,-1
days,47,-1
pretty central,47,1
distance bars,47,-1
historic,46,1
close square,46,-1
kind,46,-1
mornings,46,-1
evenings,46,-1
permit,46,-1
front,46,-1
hard,46,-1
it easy get around,46,-1
our visit,46,-1
safe area,46,1
we wanted,46,-1
great visit,46,1
!us,45,-1
so friendly,45,-1
great those,45,-1
shore,45,-1
close things,45,1
full places,45,-1
lovely neighborhood,45,1
great close everything,45,1
absolutely wonderful,45,1
when visiting,45,-1
highways,45,-1
very cozy,45,1
someone,45,-1
garden,44,-1
students,44,-1
proper,44,-1
free parking,44,-1
quite loud,44,0
big,44,-1
loud music,44,0
late,44,-1
close harvard,44,-1
events,44,-1
close town,44,1
ideal those,44,1
nice touch,44,1
great price,44,-1
accurate,44,-1
end street,43,-1
surrounded by,43,-1
absolutely gorgeous,43,1
homey,43,1
quiet neighbourhood,43,1
walk away,43,-1
local area,43,-1
dogs,43,-1
close spots,43,1
hotel,43,-1
only,43,-1
close congress,43,-1
traveling,43,-1
away street,43,-1
great everything,43,1
super helpful,43,-1
very close t,43,1
close transport,42,1
over,42,-1
district,42,-1
stops,42,-1
so close,42,1
part,42,-1
away everything,42,0
hidden,42,0
added bonus,42,-1
great base,42,-1
tons restaurants,42,1
absolutely great,42,1
perfection,42,1
plan,42,-1
just beautiful,42,1
porch,41,-1
metro,41,-1
sxsw,41,-1
so close downtown,41,1
pretty loud,41,0
one places,41,-1
6th,41,-1
minutes everything,41,-1
perfect visit,41,1
patio,41,-1
like,41,-1
community,41,-1
transit,41,-1
tufts,40,-1
using,40,-1
tidy,40,1
one areas,40,-1
ocean,40,-1
very convenient everything,40,1
units,40,-1
!me,40,-1
nights,40,-1
great close restaurants,40,1
restaurant,40,-1
!more,40,-1
cafe,40,-1
as advertised,40,-1
convenient austin,40,1
relaxing,40,1
away hustle,40,1
great plenty,39,1
central location,39,1
great close downtown,39,1
base,39,-1
yourself,39,-1
rough edges,39,-1
commons,39,-1
idyllic,39,1
little run,39,-1
quite noisy,39,0
do,39,-1
terms,39,-1
!greatest,39,0
really friendly,39,-1
transition,39,-1
we were,39,-1
quick ride,39,1
easy navigate,39,1
away city,39,-1
cute neighborhood,39,1
planning,39,-1
domain,39,-1
super cool,39,1
minutes austin,39,1
great quiet neighborhood,39,1
love,39,1
easy access boston,39,1
!more ideal,38,1
italy,38,-1
conveniently,38,1
!nicest,38,0
very close boston,38,1
ideal access,38,1
easily walkable,38,1
guests,38,-1
close transit,38,1
great street,38,1
cleaner,38,0
best austin,38,1
complex,38,-1
excellent access,38,1
local restaurants,38,1
quiet residential street,38,1
neighborhoods,38,-1
lyft,38,-1
stuff,37,-1
character,37,-1
needed,37,-1
newburyport,37,-1
very easy find,37,1
important,37,-1
marblehead,37,-1
great lot,37,1
lots bars,37,-1
!you have,37,-1
chill,37,-1
dream,37,1
walk stop,37,-1
bike,37,-1
anywhere boston,37,-1
great bars,37,1
responsive,37,-1
i looking,37,-1
trees,37,-1
just great,37,1
getaway,37,-1
gem,37,-1
very close street,37,1
one neighborhoods,37,-1
all boston,37,-1
close beach,37,-1
just amazing,36,1
bar,36,-1
plenty options,36,1
gloucester,36,-1
very lovely,36,1
very close transportation,36,1
!area,36,0
main road,36,-1
supermarket,36,-1
about walk,36,-1
very modern,36,1
very easy get,36,1
close enough everything,36,1
minutes airport,36,-1
anywhere austin,36,1
super central,36,1
perfect needs,36,1
nature,36,-1
size,36,-1
quiet safe neighborhood,36,1
pond,35,-1
table,35,-1
!noise,35,1
!central,35,0
eclectic,35,1
website,35,-1
st.,35,-1
market,35,-1
!super,35,0
lot character,35,-1
really pretty,35,1
long day,35,-1
very convenient transportation,35,1
kids,35,-1
reason,35,-1
more perfect,35,1
quick ride downtown,35,1
great things,35,1
options,35,-1
walk line,35,-1
travel,35,-1
meals,35,-1
distance square,35,-1
bc,35,-1
sidewalks,35,-1
vibe,35,-1
wanting,35,-1
convenient boston,35,1
business,35,-1
other places,35,-1
attractive,35,1
bright,34,1
west,34,-1
few days,34,-1
you want visit,34,-1
!downtown,34,-1
very lively,34,1
you want explore,34,1
easy parking,34,-1
our weekend,34,-1
buildings,34,-1
solid,34,-1
having,34,-1
my family,34,-1
close amenities,34,1
ideal anyone,34,1
ease,34,1
shady,34,0
walk downtown,34,-1
week,34,-1
nice restaurants,33,-1
sweet,33,-1
!boston,33,-1
beautiful homes,33,1
convenient airport,33,-1
description,33,-1
summer,33,-1
super close everything,33,1
good food,33,1
advantage,33,1
dog,33,-1
ideal needs,33,1
very convenient restaurants,33,1
heat,33,-1
pretty cool,33,1
so convenient everything,33,1
distance street,33,-1
scary,33,0
had,33,-1
heart downtown,33,-1
absolutely ideal,33,1
very new,33,1
questionable,32,0
end day,32,-1
away restaurants,32,-1
directions,32,-1
so lovely,32,1
great distance,32,0
convenient all,32,1
very central everything,32,1
great trip,32,1
full shops,32,1
walking distance attractions,32,1
close campus,32,-1
plenty space,32,-1
marcos,32,-1
i needed,32,-1
tranquil,32,-1
close park,32,1
convenient t,32,1
roomy,32,-1
easy access highways,32,1
located,32,-1
main street,32,-1
city boston,32,-1
completely safe,31,1
stars,31,-1
quiet parking,31,-1
very small,31,1
easy access transportation,31,1
!clean,31,0
eateries,31,-1
ann,31,-1
short walk station,31,1
best boston,31,-1
get around,31,-1
lots trees,31,-1
close highway,31,-1
mins downtown,31,-1
walking distance downtown,31,1
surroundings,31,-1
remote,31,0
either,31,-1
easy distance,31,1
great people,31,1
central boston,31,-1
distance park,31,-1
just short walk,31,1
very close line,31,1
very safe area,31,1
!issue,30,-1
central all,30,1
buses,30,-1
incredibly safe,30,1
!good,30,0
difficult,30,0
really helpful,30,-1
walk subway,30,-1
history,30,-1
close food,30,1
very close square,30,1
walking distance square,30,1
floor,30,-1
island,30,-1
you plan,30,-1
short ride downtown,30,-1
all around,30,-1
weekends,30,-1
safety,30,0
distance harvard,30,-1
close highways,30,-1
extremely loud,30,0
a+,30,-1
good neighborhood,30,1
good access,30,1
very close stop,30,1
!noisy,30,1
perfect everything,30,1
it all,30,-1
!much better,30,0
houses,29,-1
extremely clean,29,1
cheap,29,-1
full homes,29,-1
alright,29,-1
you like,29,-1
comfy,29,1
midnight,29,-1
walking distance street,29,1
simply,29,-1
rentals,29,-1
get city,29,-1
perfect restaurants,29,1
hang,29,-1
my daughter,29,-1
which was,29,-1
care,29,-1
freeway,29,-1
extremely helpful,29,-1
considering,29,-1
walking distance station,29,-1
very sweet,29,-1
convenience,29,1
very kind,29,-1
diverse,29,1
very convenient area,29,1
walking distance bars,29,1
get boston,29,-1
close shopping,29,-1
know,29,-1
!elevator,29,-1
cod,29,-1
!it,29,-1
good place,29,1
seeing,29,-1
great space,29,-1
great parking,29,-1
so relaxing,29,1
!street,29,0
transport,29,-1
hour,29,-1
close metro,29,-1
suburbs,29,-1
minutes boston,29,-1
woods,28,-1
pretty much,28,-1
cleanliness,28,-1
perfect distance,28,1
hall,28,-1
extremely friendly,28,-1
very convenient square,28,1
i had,28,-1
issues,28,-1
there were,28,-1
die,28,-1
very convenient boston,28,1
pretty noisy,28,0
getting,28,-1
easy access city,28,1
very convenient airport,28,1
really well,28,-1
gentrification,28,0
backyard,28,-1
very dark,28,0
super easy,28,1
my expectations,28,-1
expectations,28,-1
!away,28,-1
short distance,28,1
really fun,28,1
super close downtown,28,1
convenient areas,28,1
great spots,28,1
easy get around,28,1
many great restaurants,28,1
quite neighborhood,28,1
shower,28,-1
deck,28,-1
very quiet street,28,1
rainey,28,-1
anywhere city,28,-1
right downtown,28,-1
distance areas,28,-1
about drive downtown,28,-1
sightseeing,28,-1
accommodations,28,-1
very safe neighborhood,28,1
good places,28,1
marathon,28,-1
very close subway,28,1
fridge,27,-1
elevator,27,-1
so clean,27,1
apartments,27,-1
killer,27,-1
optimal,27,1
attention,27,-1
chinatown,27,-1
areas boston,27,-1
feeling,27,-1
just,27,-1
relax,27,1
different,27,-1
!parking,27,-1
we visiting,27,-1
your car,27,-1
future,27,-1
system,27,-1
mostly quiet,27,1
ideal trip,27,-1
close stops,27,-1
use,27,-1
it worth,27,-1
few blocks,27,-1
amazing restaurants,27,1
entertainment,27,-1
quick drive downtown,27,1
close action,27,-1
grab,27,-1
about walk station,27,1
close university,27,-1
so helpful,27,-1
very close area,27,1
sleep,27,-1
really calm,27,1
sq,27,-1
’s,27,-1
travelers,27,-1
central austin,27,-1
greater area,27,0
it easy get,27,1
tacos,27,-1
same time,27,-1
long,27,-1
perfect explore,27,1
easy drive,27,1
great walking,27,1
convenient attractions,27,1
close enough,27,1
get downtown,27,-1
very close center,27,1
generally quiet,27,0
far center,26,-1
rest,26,-1
short walk t,26,-1
lot bars,26,-1
a,26,-1
course,26,-1
save,26,-1
restaurants distance,26,-1
absolutely stunning,26,1
great time,26,-1
cars,26,-1
away boston,26,-1
direction,26,-1
especially you have,26,-1
!you,26,-1
right next station,26,-1
’re,26,-1
stairs,26,-1
absolutely lovely,26,1
short walk square,26,1
green,26,-1
quick drive,26,-1
great vibe,26,1
full houses,26,-1
easy access everything,26,1
many things,26,-1
lots things,26,-1
very convenient austin,26,1
terms proximity,26,-1
super close,26,1
away noise,26,1
walking distance lots,26,1
staying,26,-1
outside boston,26,-1
red line,26,-1
!also,26,-1
outdoors,26,-1
hop,26,-1
next door,26,-1
weather,26,-1
better expected,26,1
easy access austin,26,1
great options,26,1
easy reach,26,1
prime location,26,1
quiet neighbors,26,1
dodgy,26,0
themselves,25,-1
chairs,25,-1
!walkable,25,0
iffy,25,0
convenient shopping,25,1
very convenient location,25,1
very convenient t,25,1
front door,25,-1
questions,25,-1
!safest,25,0
blocks station,25,-1
bustle,25,0
walk restaurants,25,-1
very useful,25,-1
your stay,25,-1
away stop,25,-1
wimberley,25,-1
quick respond,25,-1
minutes street,25,-1
!for,25,-1
fantastic-,25,1
we were there,25,-1
great austin,25,1
fantastic access,25,1
filthy,25,0
one favorites,25,1
locations,25,-1
bikes,25,-1
wonderful place,25,1
wonderful host,25,-1
many attractions,25,1
perfect downtown,25,1
lot fun,25,1
exactly as advertised,25,-1
condo,25,-1
close proximity everything,25,1
bakery,25,-1
walkable downtown,25,1
very warm,25,-1
distance area,25,-1
light,25,-1
reach,25,-1
supreme,25,1
very convenient harvard,25,-1
area boston,25,-1
floors,24,-1
great right,24,-1
perfectly safe,24,1
it has,24,-1
!too bad,24,0
so pretty,24,1
distance center,24,-1
walking distance center,24,-1
separate,24,-1
really fantastic,24,1
good as well,24,1
school,24,-1
wonderful neighborhood,24,1
simple,24,-1
bu,24,-1
primo,24,-1
delight,24,1
walk t,24,-1
impeccable,24,1
studio,24,-1
even late night,24,1
spaces,24,-1
path,24,-1
extremely nice,24,-1
listing,24,-1
maps,24,-1
our purposes,24,-1
really awesome,24,1
very green,24,1
away area,24,-1
well situated,24,1
many great places,24,1
10/10,24,-1
cab,24,-1
active,24,-1
more residential,24,1
excellent-,24,1
commute,24,-1
stations,24,-1
friendly neighbors,24,1
great activities,24,1
really ideal,24,1
incredibly quiet,24,1
be quiet,24,1
families,24,-1
harbor,24,-1
make,24,-1
distance attractions,24,-1
others,24,-1
great very close downtown,24,1
central lot,24,-1
great anyone,24,-1
lots options,24,1
great very quiet,24,1
really peaceful,24,1
library,24,-1
very interesting,24,1
heart cambridge,24,-1
very picturesque,23,1
there was,23,-1
easy access all,23,1
very homey,23,1
providing,23,-1
trips,23,-1
right next door,23,-1
you hear,23,-1
tremendous,23,1
taking,23,-1
our daughter,23,-1
one streets,23,-1
other guests,23,-1
bad,23,0
very handy,23,-1
jp,23,-1
our son,23,-1
lot amenities,23,1
nice quiet street,23,1
probably,23,-1
much better,23,0
quiet place,23,1
distance lot,23,-1
very narrow,23,0
play,23,-1
wifi,23,-1
very close shops,23,1
fast,23,-1
walk street,23,-1
ideal stay,23,1
sights boston,23,-1
easy walking distance,23,1
which was nice,23,-1
lot things,23,-1
locals,23,-1
really close,23,1
great downtown,23,1
live music,23,1
suburban,23,-1
walking distance lot,23,1
walk beach,23,1
really close downtown,23,1
one parts,23,-1
ideal visit,23,1
magical,23,1
well located,23,1
easy access highway,23,1
really perfect,23,1
thin walls,23,-1
you want be,22,-1
oriented,22,-1
lounge,22,-1
decor,22,-1
so ideal,22,1
lush,22,1
popular,22,1
front house,22,-1
very secluded,22,1
sense,22,-1
!really,22,-1
our dog,22,-1
her,22,-1
sit,22,-1
kind of sketchy,22,0
you are,22,-1
suburb,22,-1
!walking,22,-1
right next stop,22,-1
lot noise,22,0
enjoyable,22,1
their dogs,22,-1
great quiet,22,1
absolutely adorable,22,1
my husband,22,-1
grocery,22,-1
myself,22,-1
lots amenities,22,1
super responsive,22,-1
welcoming,22,-1
great plus,22,1
generally,22,-1
very close campus,22,-1
very convenient areas,22,1
really clean,22,1
trucks,22,-1
beer,22,-1
great purposes,22,-1
responses,22,-1
nice residential area,22,1
lots restaurants nearby,22,1
best worlds,22,-1
ample parking,22,-1
green line,22,-1
anyway,22,-1
easy walk downtown,22,1
gardens,22,-1
middle,22,-1
entrance,22,-1
prefect,22,1
recommend,22,-1
event,22,-1
breweries,22,-1
balcony,22,-1
trying,22,-1
walking restaurants,22,1
!place,22,-1
my opinion,22,-1
my visit,22,-1
cota,22,-1
very unique,22,1
unreal,22,1
homes,22,-1
perfect base,22,1
you feel home,22,1
full people,22,-1
our car,22,-1
walking distance area,22,1
east,22,-1
stones,22,-1
bakeries,22,-1
beaches,22,-1
trip boston,21,-1
end road,21,-1
bathrooms,21,-1
safe enough,21,1
visitors,21,-1
walkable everything,21,1
distance station,21,-1
has,21,-1
!traffic,21,-1
heart everything,21,1
waterfront,21,-1
share,21,-1
absolute best,21,1
variety places,21,1
perfect walk,21,1
issue,21,-1
case,21,-1
well maintained,21,-1
away center,21,0
joe,21,-1
few minutes,21,-1
area austin,21,-1
which was great,21,-1
areas austin,21,-1
good area,21,1
fab,21,-1
scenery,21,1
!very nice,21,0
close stations,21,1
nice walk around,21,1
your needs,21,-1
instructions,21,-1
laundry,21,-1
get austin,21,-1
great view,21,1
i expected,21,-1
money,21,-1
you looking place,21,-1
apt,21,-1
next time,21,-1
distance food,21,-1
bbq,21,-1
bit walk,21,-1
!time,21,-1
treat,21,-1
problem,21,0
quick walk restaurants,21,1
residents,21,-1
older building,21,0
shabby,21,0
distance beach,21,-1
away line,20,-1
pleasure,20,-1
odd,20,0
housing,20,-1
about drive,20,-1
visit boston,20,-1
very large,20,-1
luggage,20,-1
window,20,-1
driveway,20,-1
close ut,20,-1
fantastic location,20,1
quite charming,20,1
universities,20,-1
pretty perfect,20,1
major plus,20,-1
very sketchy,20,0
tight,20,-1
cold,20,-1
away subway,20,-1
same,20,-1
very close austin,20,1
!austin,20,-1
ride area,20,-1
corner street,20,-1
so cool,20,1
tips,20,-1
group,20,-1
roads,20,-1
just fine,20,-1
thanks,20,-1
large group,20,-1
trendy,20,1
so central,20,1
around there,20,-1
close enough walk,20,1
transitional,20,0
snacks,20,-1
lot shops,20,1
mostly residential,20,1
so fun,20,1
scene,20,-1
close activities,20,-1
short uber,20,-1
our plans,20,-1
needs,20,-1
wimberly,20,-1
as good it gets,20,-1
bridge,20,-1
greenbelt,20,-1
bars street,20,-1
away traffic,20,-1
great that,20,1
leafy,20,1
close tons,20,1
!perfect,20,0
top,20,-1
short walk downtown,20,1
book,20,-1
tough beat,20,1
beautiful houses,20,1
be area,20,-1
close mit,20,-1
heart italy,20,-1
lot traffic,19,0
convenient transit,19,1
doors,19,-1
so safe,19,1
fact,19,-1
cottage,19,-1
supermarkets,19,-1
really central,19,1
walking distance t,19,1
catch,19,-1
very inviting,19,1
opportunity,19,-1
recommendations,19,-1
route,19,-1
coast,19,-1
very communicative,19,-1
minutes walk station,19,1
ton,19,-1
older side,19,-1
perfect walking distance,19,1
very great,19,1
festival,19,-1
stay boston,19,-1
close many,19,1
keep,19,-1
ride away,19,-1
